Position,Hip_Knee-Ankle_angle,Shoulder_hip_knee_angle,Knee_ankle_foot_angle,nose_x,nose_y,nose_z,nose_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v
Down,21.563437841533496,31.11544166579247,161.70309617349432,0.5259969234466553,0.8229159116744995,-1.872362494468689,0.9969128966331482,0.6864425539970398,0.9220204949378967,-1.0941578149795532,0.9711759090423584,0.6184839606285095,1.530097246170044,-0.06658048182725906,0.003109961049631238,0.5946910977363586,1.478459358215332,-0.08509156852960587,0.0076498351991176605,0.6141306161880493,1.8288935422897339,0.5144076943397522,0.0005948789766989648,0.5957589149475098,1.8968791961669922,0.2556633949279785,0.0008848730358295143
Down,25.083473367720156,34.84801522954047,140.96445926081708,0.5256325006484985,0.8227179646492004,-1.8501243591308594,0.9970303177833557,0.6866380572319031,0.9219744205474854,-1.071865200996399,0.9646804332733154,0.6189344525337219,1.5435906648635864,-0.06908528506755829,0.0031176318880170584,0.5935761332511902,1.4971421957015991,-0.11038285493850708,0.008484979160130024,0.6140428185462952,1.8271706104278564,0.4128543734550476,0.0006451753433793783,0.5964809060096741,1.8518034219741821,0.18253256380558014,0.0010361706372350454
Down,16.80200138234249,25.800977803495496,166.06520136518134,0.5254590511322021,0.8227141499519348,-1.8891973495483398,0.996777355670929,0.6867502927780151,0.9228865504264832,-1.105463981628418,0.9526661038398743,0.6157732605934143,1.5298610925674438,-0.06671546399593353,0.0030320293735712767,0.5906776785850525,1.457517385482788,-0.0966702476143837,0.009026264771819115,0.6041929721832275,1.7897756099700928,0.5013308525085449,0.000691757071763277,0.5926691293716431,1.8458882570266724,0.28493112325668335,0.0011689536040648818
Down,13.563773173365286,22.71652527579866,160.32900015255288,0.5258240103721619,0.8183642625808716,-1.9370015859603882,0.9968604445457458,0.6867469549179077,0.9226564764976501,-1.1088817119598389,0.9421414732933044,0.6139720678329468,1.5301742553710938,-0.066651850938797,0.002986774081364274,0.5824350714683533,1.4193569421768188,-0.13931377232074738,0.010316316969692707,0.5953668355941772,1.7383021116256714,0.4656715393066406,0.0008279604953713715,0.586368978023529,1.7671037912368774,0.2553371787071228,0.001437895349226892
Down,44.723870351595984,53.47881875286666,169.74690811857903,0.5265758633613586,0.8173066973686218,-1.8997396230697632,0.9964005351066589,0.6859962344169617,0.9216466546058655,-1.1033241748809814,0.9373418092727661,0.6127387285232544,1.5290635824203491,-0.06623030453920364,0.002840014873072505,0.5830531120300293,1.5009931325912476,-0.1481703519821167,0.01022752933204174,0.5954625010490417,1.879453420639038,0.44020897150039673,0.0008315496961586177,0.5856409668922424,1.9461654424667358,0.19481469690799713,0.0014630303485319018
Down,134.84059832571165,143.66979141995338,171.19379651688345,0.5265110731124878,0.8128618597984314,-1.8962312936782837,0.9963662624359131,0.6853320002555847,0.920538604259491,-1.111783742904663,0.938165009021759,0.6129199862480164,1.5162650346755981,-0.061582423746585846,0.0027209699619561434,0.5839129090309143,1.5470889806747437,-0.15012507140636444,0.009878311306238174,0.5987244248390198,1.9938708543777466,0.4359264373779297,0.0008007647120393813,0.5856898427009583,2.1014654636383057,0.1666535884141922,0.001408590585924685
Down,10.98904878135041,20.69513140370083,166.32674426352466,0.5250047445297241,0.8120114803314209,-1.8812544345855713,0.9964302778244019,0.6838074922561646,0.9222313761711121,-1.106618881225586,0.9286046624183655,0.6088396310806274,1.515145182609558,-0.06044439226388931,0.002593348268419504,0.5843842625617981,1.4131942987442017,-0.05458628386259079,0.009983760304749012,0.5979782938957214,1.7245663404464722,0.5472919940948486,0.0008102863212116063,0.5873311758041382,1.7784695625305176,0.3265942633152008,0.0014704848872497678
Down,16.367378830164554,25.622652394462925,158.92863386608488,0.5253587365150452,0.8118332624435425,-1.9218254089355469,0.9964267015457153,0.6872299313545227,0.921923816204071,-1.1225900650024414,0.921807587146759,0.6142686605453491,1.5225456953048706,-0.06379388272762299,0.0026257627177983522,0.5847371220588684,1.4352810382843018,-0.06193091347813606,0.010402007959783077,0.597855806350708,1.7578176259994507,0.5275781154632568,0.0008502023993059993,0.5862346291542053,1.7920677661895752,0.2841174304485321,0.00155933597125113
Up,170.5725274973602,178.80229634796507,168.67515738560473,0.5252451300621033,0.8123467564582825,-1.9046638011932373,0.9954143166542053,0.6893863081932068,0.9184032678604126,-1.1227352619171143,0.9222248196601868,0.623012900352478,1.5055499076843262,-0.06275811791419983,0.0025152829475700855,0.6083545684814453,1.6147218942642212,-0.09882030636072159,0.009824945591390133,0.6215074062347412,2.0379090309143066,0.5055254101753235,0.0008054481586441398,0.6020844578742981,2.1534230709075928,0.2356562614440918,0.00147363287396729
Up,159.75560063149865,168.95440393581453,162.92437082758562,0.5251777768135071,0.8121533989906311,-1.9040676355361938,0.9954854249954224,0.6901761293411255,0.9188184142112732,-1.119529366493225,0.9220960140228271,0.6229113936424255,1.5281376838684082,-0.06267878413200378,0.0024174463469535112,0.5970380902290344,1.610977292060852,-0.06964188814163208,0.009592797607183456,0.6182541847229004,2.0298986434936523,0.5653611421585083,0.0007778611616231501,0.5967099070549011,2.1151885986328125,0.290703147649765,0.0014316419837996364
